Test solvent,mse,nlpd
"Methanol-Ethylene Glycol [1,2-Ethanediol]",0.7140280550293522,0.14881590549791968
"1,1,1,3,3,3-Hexafluoropropan-2-ol-2-Methyltetrahydrofuran [2-MeTHF]",0.37929031113909195,-0.34812994820301435
Cyclohexane-IPA [Propan-2-ol],0.4329089564020432,-0.2674884579673617
Water.Acetonitrile-Acetonitrile,0.3297701881267677,0.5905787750658923
Acetonitrile-Acetonitrile.Acetic Acid,0.11170146575372057,1.448858842348867
2-Methyltetrahydrofuran [2-MeTHF]-Diethyl Ether [Ether],0.13197234105303784,-1.2200192758269093
"2,2,2-Trifluoroethanol-Water.2,2,2-Trifluoroethanol",0.3228099330641135,0.16690426104715828
"DMA [N,N-Dimethylacetamide]-Decanol",0.07210420226038537,-0.5559892573318568
Ethanol-THF [Tetrahydrofuran],0.011192213459907783,-1.6012939894277634
Dihydrolevoglucosenone (Cyrene)-Ethyl Acetate,0.017838582590634325,-0.9423947748320015
MTBE [tert-Butylmethylether]-Butanone [MEK],0.015511275292644388,-1.3770266539495466
tert-Butanol [2-Methylpropan-2-ol]-Dimethyl Carbonate,0.019999676467733377,-0.7586534737240589
Methyl Propionate-Ethyl Lactate,0.020251060133500764,-0.8895017018769247
