Test solvent,mse,nlpd
"Methanol-Ethylene Glycol [1,2-Ethanediol]",0.16056241000265886,
"1,1,1,3,3,3-Hexafluoropropan-2-ol-2-Methyltetrahydrofuran [2-MeTHF]",0.23127242232927703,
Cyclohexane-IPA [Propan-2-ol],0.13133935821377876,
Water.Acetonitrile-Acetonitrile,0.18813989291743488,
Acetonitrile-Acetonitrile.Acetic Acid,0.031328615283836264,
2-Methyltetrahydrofuran [2-MeTHF]-Diethyl Ether [Ether],0.047522969701596474,
"2,2,2-Trifluoroethanol-Water.2,2,2-Trifluoroethanol",0.12639030747145982,
"DMA [N,N-Dimethylacetamide]-Decanol",0.1254537866201357,
Ethanol-THF [Tetrahydrofuran],0.09787519682081731,
Dihydrolevoglucosenone (Cyrene)-Ethyl Acetate,0.01716229509380762,
MTBE [tert-Butylmethylether]-Butanone [MEK],0.001786636225476793,
tert-Butanol [2-Methylpropan-2-ol]-Dimethyl Carbonate,0.009415201957671633,
Methyl Propionate-Ethyl Lactate,0.035698093061041714,
