Test solvent,mse,nlpd
"Methanol-Ethylene Glycol [1,2-Ethanediol]",0.30691663858564305,
"1,1,1,3,3,3-Hexafluoropropan-2-ol-2-Methyltetrahydrofuran [2-MeTHF]",0.12454714151577596,
Cyclohexane-IPA [Propan-2-ol],0.1301237787449855,
Water.Acetonitrile-Acetonitrile,0.23035718605075084,
Acetonitrile-Acetonitrile.Acetic Acid,0.058598939768946805,
2-Methyltetrahydrofuran [2-MeTHF]-Diethyl Ether [Ether],0.04696162212897182,
"2,2,2-Trifluoroethanol-Water.2,2,2-Trifluoroethanol",0.09840313695581258,
"DMA [N,N-Dimethylacetamide]-Decanol",0.08845596951784704,
Ethanol-THF [Tetrahydrofuran],0.09320070884488979,
Dihydrolevoglucosenone (Cyrene)-Ethyl Acetate,0.029335920560326707,
MTBE [tert-Butylmethylether]-Butanone [MEK],0.06717822960576351,
tert-Butanol [2-Methylpropan-2-ol]-Dimethyl Carbonate,0.04416597991384952,
Methyl Propionate-Ethyl Lactate,0.028959996007270446,
