Test solvent,mse,nlpd
"Methanol-Ethylene Glycol [1,2-Ethanediol]",0.3563287934361879,
"1,1,1,3,3,3-Hexafluoropropan-2-ol-2-Methyltetrahydrofuran [2-MeTHF]",0.10459029739315998,
Cyclohexane-IPA [Propan-2-ol],0.14898212516328369,
Water.Acetonitrile-Acetonitrile,0.13097155110790604,
Acetonitrile-Acetonitrile.Acetic Acid,0.04585265857395104,
2-Methyltetrahydrofuran [2-MeTHF]-Diethyl Ether [Ether],0.0652587235110744,
"2,2,2-Trifluoroethanol-Water.2,2,2-Trifluoroethanol",0.04769337586628251,
"DMA [N,N-Dimethylacetamide]-Decanol",0.09891370935930785,
Ethanol-THF [Tetrahydrofuran],0.13148466540302692,
Dihydrolevoglucosenone (Cyrene)-Ethyl Acetate,0.053127051060618546,
MTBE [tert-Butylmethylether]-Butanone [MEK],0.06961086668011308,
tert-Butanol [2-Methylpropan-2-ol]-Dimethyl Carbonate,0.008482922725150221,
Methyl Propionate-Ethyl Lactate,0.028638255512083308,
