Test solvent,mse,nlpd
"Methanol-Ethylene Glycol [1,2-Ethanediol]",0.0578259822128676,
"1,1,1,3,3,3-Hexafluoropropan-2-ol-2-Methyltetrahydrofuran [2-MeTHF]",0.11714190840270923,
Cyclohexane-IPA [Propan-2-ol],0.012097035681053492,
Water.Acetonitrile-Acetonitrile,0.060851782836469075,
Acetonitrile-Acetonitrile.Acetic Acid,0.08119395185358715,
2-Methyltetrahydrofuran [2-MeTHF]-Diethyl Ether [Ether],0.014771272128251188,
"2,2,2-Trifluoroethanol-Water.2,2,2-Trifluoroethanol",0.0368083252865992,
"DMA [N,N-Dimethylacetamide]-Decanol",0.004297743804374875,
Ethanol-THF [Tetrahydrofuran],0.0040829167171666,
Dihydrolevoglucosenone (Cyrene)-Ethyl Acetate,0.01652463371986373,
MTBE [tert-Butylmethylether]-Butanone [MEK],0.001249157585356707,
tert-Butanol [2-Methylpropan-2-ol]-Dimethyl Carbonate,0.017354830948027263,
Methyl Propionate-Ethyl Lactate,0.010238491384213858,
