Test solvent,mse,nlpd
"Methanol-Ethylene Glycol [1,2-Ethanediol]",0.06034737585291018,
"1,1,1,3,3,3-Hexafluoropropan-2-ol-2-Methyltetrahydrofuran [2-MeTHF]",0.0701461584797111,
Cyclohexane-IPA [Propan-2-ol],0.05550596369130572,
Water.Acetonitrile-Acetonitrile,0.04680212522209817,
Acetonitrile-Acetonitrile.Acetic Acid,0.04920566965321443,
2-Methyltetrahydrofuran [2-MeTHF]-Diethyl Ether [Ether],0.008992903949887058,
"2,2,2-Trifluoroethanol-Water.2,2,2-Trifluoroethanol",0.02224573527916757,
"DMA [N,N-Dimethylacetamide]-Decanol",0.02090664533924482,
Ethanol-THF [Tetrahydrofuran],0.03330136250090196,
Dihydrolevoglucosenone (Cyrene)-Ethyl Acetate,0.012757174415599058,
MTBE [tert-Butylmethylether]-Butanone [MEK],0.022035531292524876,
tert-Butanol [2-Methylpropan-2-ol]-Dimethyl Carbonate,0.019589469016304765,
Methyl Propionate-Ethyl Lactate,0.010473632507931019,
